2,,invalshoeken,niveau van ontsluiting,objectnummer,beelden ontsluiten voor publiek?,inhoudelijke registratie koepel en deelnummers,waardering,,foto-overleg,beelden klaar,staat te ontsluiten beeld op de R-schijf in groot formaat?,naam beeld(en),vervaardiger,toestemming auteursrecht,Attributie,publicatie op cogent (via europeana),publicatie op erfgoedinzicht,opmerkingen,collectiepresentatie?
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0124_05-10,niet-publiek,ok,,,,ok,ok,2002-0124_05-10,,,,,,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0124_06-10,niet-publiek,ok,,,,ok,ok,2002-0124_06-10,,,,,,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0124_07-10,niet-publiek,ok,,,,ok,ok,2002-0124_07-10,,,,,,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0124_08-10,niet-publiek,ok,,,,ok,ok,2002-0124_08-10,,,,,,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0124_09-10,niet-publiek,ok,,,,ok,ok,2002-0124_09-10,,,,,,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0124_10-10,niet-publiek,ok,,,,ok,ok,2002-0124_10-10,,,,,,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0125,publiek,ok,,,,ok,ok,2002-0125$1,,,,ok 2022-05-31,ok 2022-05-31,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0127,publiek,ok,,,,ok,ok,2002-0127$1,,,,ok 2022-05-31,ok 2022-05-31,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0128,publiek,ok,,,photoshop; ok,ok,ok,2002-0128$3,,,,ok 2022-05-31,ok 2022-05-31,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0129,publiek,ok,,,,ok,ok,2002-0129$1,,,,ok 2022-05-31,ok 2022-05-31,,
Ianthe,,Italiaans postmodernisme,ensemble,2002-0130_0-4,publiek,ok,,,,ok,ok,2002-0130_0-4$1,,,,ok 2022-05-31,ok 2022-05-31,,
